DEBUG 2019-07-18 12:57:18,620 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 13:02:18,621 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 13:02:18,644 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 13:07:18,644 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 13:07:18,667 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 13:12:18,668 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 13:12:18,697 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 13:12:26,072 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'AggregatedCounter' table...
DEBUG 2019-07-18 13:12:26,138 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'AggregatedCounter' table.
DEBUG 2019-07-18 13:12:26,138 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'Job' table...
DEBUG 2019-07-18 13:12:26,202 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'Job' table.
DEBUG 2019-07-18 13:12:26,202 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'List' table...
DEBUG 2019-07-18 13:12:26,266 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'List' table.
DEBUG 2019-07-18 13:12:26,266 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'Set' table...
DEBUG 2019-07-18 13:12:26,324 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'Set' table.
DEBUG 2019-07-18 13:12:26,324 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'Hash' table...
DEBUG 2019-07-18 13:12:26,403 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'Hash' table.
DEBUG 2019-07-18 13:17:18,701 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 13:17:18,728 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 13:22:18,728 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 13:22:18,770 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 13:27:18,770 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 13:27:18,799 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 13:32:18,803 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 13:32:18,838 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 13:37:18,838 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 13:37:18,860 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 13:42:18,862 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 13:42:18,892 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 13:42:26,404 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'AggregatedCounter' table...
DEBUG 2019-07-18 13:42:26,485 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'AggregatedCounter' table.
DEBUG 2019-07-18 13:42:26,485 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'Job' table...
DEBUG 2019-07-18 13:42:26,552 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'Job' table.
DEBUG 2019-07-18 13:42:26,552 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'List' table...
DEBUG 2019-07-18 13:42:26,619 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'List' table.
DEBUG 2019-07-18 13:42:26,619 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'Set' table...
DEBUG 2019-07-18 13:42:26,691 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'Set' table.
DEBUG 2019-07-18 13:42:26,691 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'Hash' table...
DEBUG 2019-07-18 13:42:26,754 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'Hash' table.
DEBUG 2019-07-18 13:47:18,894 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 13:47:18,914 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 13:52:18,915 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 13:52:18,939 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 13:57:18,940 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 13:57:18,964 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 14:02:18,966 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
